record_id,company_id,exhibition_id,edition_year,participation_status,is_current_confirmed,historical_appearance_count,appearance_years,return_likelihood_score,company_name_raw,company_name_normalized,company_aliases,legal_name,official_domain,best_known_website,country,ksa_presence,riyadh_presence,sector,booth_or_sponsor_notes,general_email,sales_email,marketing_email,other_public_email,public_phone,public_whatsapp,linkedin_company,instagram,facebook,x_profile,youtube,other_public_profile,google_business,public_contact_name,public_contact_title,public_contact_profile,best_contact_channel,core_media_service_fit,opportunity_score,opportunity_tier,source_relationship,verification_status,confidence,participation_source_url,contact_source_url,source_checked_at,last_verified_at,notes
exh-saag-2026-0011,co-saag-2026-ammc-com-sa,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,"Agricultural Machinery & Materials Co., Ltd. (AMMC)","Agricultural Machinery & Materials Co., Ltd. (AMMC)",AMMC; Agriculture Machinery & Materials Company,Agriculture Machinery & Materials Company,ammc.com.sa,http://www.ammc.com.sa,Saudi Arabia,Saudi agriculture inputs company with Kingdom-wide activity,Riyadh distributor location listed by Syngenta PPM; current Riyadh exhibition participation confirmed,"Crop Farming, Poultry Livestock & Dairy Farming, Agro-Food Processing & Packaging","Stand 5-228; Products: Crop Protection, Fertilizers & Pesticides, Landscaping & Nurseries, Animal Health & Technologies, Feeds & Additives, Refrigeration & Storage",,,,,+966 11 476 8430; +966 555 099 436,,,,,,,,,,,,phone,agriculture exhibition booth/media/activation opportunity,80,high,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://www.syngentappm.com/menaf/agricultural-machinery-materials-co-ltd,2026-07-18,2026-07-20,Enrichment batch 1: official AMMC site confirms broad KSA agriculture activity; Syngenta PPM distributor page supplies Riyadh phone/mobile contact.
exh-saag-2026-0012,co-saag-2026-agricultural-technology-middle-east-co-saudi-arabia,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Agricultural Technology Middle East Co.,Agricultural Technology Middle East Co.,,,,,Saudi Arabia,Saudi Arabia company per official exhibitor record,current Riyadh exhibition participation only,,Stand 4-394,,,,,,,,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,35,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-20,"Enrichment batch 1: no stable public website, LinkedIn, or contact source found beyond official exhibitor listing."
exh-saag-2026-0013,co-saag-2026-agrikal-com-tr,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Agrikal Tarim Ve San Minerallari Ltd. Şti (Fitsa),Agrikal Tarim Ve San Minerallari Ltd. Şti (Fitsa),,Agrikal Tarim Ve San Minerallari Ltd. ?ti,agrikal.com.tr,http://agrikal.com.tr/,Turkiye,current Saudi Agriculture exhibitor; no separate KSA operating presence verified,current Riyadh exhibition participation only,,Stand 5-219,,,,,+90 242 729 7400,,,,,,,,,,,,phone,agriculture exhibition booth/media/activation opportunity,52,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://agrikal.com.tr/en,2026-07-18,2026-07-20,"Enrichment batch 1: official Agrikal site confirms products, 20th anniversary, Antalya address, and public phone; email appeared obfuscated in crawl and was not recorded."
exh-saag-2026-0014,co-saag-2026-agrotech-tarim-urun-san-ve-tic-ltd-sti-turkiye,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Agrotech Tarim Ürün. San Ve Tic Ltd Şti,Agrotech Tarim Ürün. San Ve Tic Ltd Şti,,,agrotechtarim.com.tr,https://www.agrotechtarim.com.tr,Turkiye,current Saudi Agriculture exhibitor; no separate KSA operating presence verified,current Riyadh exhibition participation only,,Stand 3-270,,,,,,,https://tr.linkedin.com/company/agrotech-tarim,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,48,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://tr.linkedin.com/company/agrotech-tarim,2026-07-18,2026-07-20,"Enrichment batch 1: public LinkedIn company page confirms website and Izmir headquarters; contact page was blocked by verification, so no phone/email recorded."
exh-saag-2026-0015,co-saag-2026-agrovermi-middle-east-organic-fertilizer-trading-llc-uae,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Agrovermi Middle East Organic Fertilizer Trading LLC,Agrovermi Middle East Organic Fertilizer Trading LLC,,Agrovermi Middle East Organic Fertilizer Trading LLC,agro-vermi.com,https://agro-vermi.com,UAE,current Saudi Agriculture exhibitor; UAE organic fertilizer company,current Riyadh exhibition participation only,,Stand 4-491,info@agrovermiuae.com,sales@agrovermiuae.com,,,+971 45 531 466,+971 52 518 4575,https://www.linkedin.com/company/agrovermi-middle-east-organic-fertilizer,,,,,,,,,,whatsapp,agriculture exhibition booth/media/activation opportunity,68,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://agro-vermi.com/contact/,2026-07-18,2026-07-20,Enrichment batch 1: official contact page and LinkedIn company page captured; public contacts are business channels only.
exh-saag-2026-0016,co-saag-2026-agtinium-llc-usa,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Agtinium LLC,Agtinium LLC,,Agtinium LLC,,,USA,current Saudi Agriculture exhibitor; no separate KSA operating presence verified,current Riyadh exhibition participation only,,Stand 5-124,,,,,,,,,,,,https://www.bizprofile.net/ca/fresno/agtinium-llc,,,,,pending,agriculture exhibition booth/media/activation opportunity,40,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://www.bizprofile.net/ca/fresno/agtinium-llc,2026-07-18,2026-07-20,Enrichment batch 1: California business-profile source found active LLC filing and agriculture/intelligent software activity; no public website or sales contact verified.
exh-saag-2026-0017,co-saag-2026-areenfabric-sa,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Areen Company for Agri Fabric Production,Al Areen Company for Agri Fabric Production,Areen Company for Fabric Production; Al-areen Factory For Agri Fabric,Areen Company for Fabric Production,areenfabric.sa,http://areenfabric.sa/,Saudi Arabia,"Saudi manufacturer in Al-Kharj, Riyadh region",Al-Kharj/Riyadh region manufacturer; current Riyadh exhibition participation confirmed,,Stand 4-390,info@areenfabric.sa,,,,+966 50 902 5750,,,,,,,,,,,,email,agriculture exhibition booth/media/activation opportunity,74,high,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://areenfabric.sa/,2026-07-18,2026-07-20,"Enrichment batch 1: official website captured email, phone, Al-Kharj address, and agricultural-use product line."
exh-saag-2026-0018,co-saag-2026-al-dahra-khalijiah-company-limited-uae,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Dahra Khalijiah Company Limited,Al Dahra Khalijiah Company Limited,,,,,UAE,current Saudi Agriculture exhibitor; possible Al Dahra group relationship not assigned without stronger evidence,current Riyadh exhibition participation only,,Stand 3-169,,,,,,,,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,35,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-20,Enrichment batch 1: no stable public source was assigned to Al Dahra Khalijiah Company Limited; avoided merging with similarly named Al Dahra entities without direct evidence.
exh-saag-2026-0019,co-saag-2026-aldayfeagri-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Dayfe for Agricultural Investment Co.,Al Dayfe for Agricultural Investment Co.,Aldayfe Agricultural Investment Co.; ???? ????? ????????? ???????,,aldayfeagri.com,http://www.aldayfeagri.com,Saudi Arabia,Saudi agriculture company with multiple branches/service centers in KSA,current Riyadh exhibition participation; no separate Riyadh office verified in this pass,"Crop Farming, Poultry Livestock & Dairy Farming, Organic & Agro-Food, Agro-Food Processing & Packaging, Aquaculture, Agriculture Technologies","Stand 4-469; Products: Dairy Products, Frozen Foods, Dried & Canned Foods, Honey & Dates, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries, Animal Health & Technologies, Livestock Technologies, Agro-Food Production & Processing, Refrigeration & Storage, Greenhouses Solutions",info@aldayfeagri.com,,,,+966 16 330 3000; +966 16 330 0777,,https://www.linkedin.com/company/aldayfe-agricultural-investment-co,https://www.instagram.com/aldayfeagri,https://www.facebook.com/aldayfeagri,https://twitter.com/Aldayfeagri,,,,,,,email,agriculture exhibition booth/media/activation opportunity,82,high,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://aldayfeagri.com/contact/,2026-07-18,2026-07-20,Enrichment batch 1: official contact page captured phone/email/social links; LinkedIn company page captured public company profile.
exh-saag-2026-0020,co-saag-2026-al-hadaf-level-company-for-trading-saudi-arabia,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Hadaf Level Company For Trading,Al Hadaf Level Company For Trading,,,,,Saudi Arabia,Saudi Arabia company per official exhibitor record and public credit-report preview,Riyadh address appears in public credit-report preview; no direct public company contact verified,,Stand 5-329,,,,,,,,,,,,https://www.icpcredit.com/Report/ReportRequest?companyID=92157871,,,,,pending,agriculture exhibition booth/media/activation opportunity,42,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-20,"Enrichment batch 1: public credit-report preview found Riyadh listing, but direct contact data is gated; no email/phone recorded."
exh-saag-2026-0021,co-saag-2026-aljammazag-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Jammaz Agriculture Company,Al Jammaz Agriculture Company,,,aljammazag.com,http://www.aljammazag.com,Saudi Arabia,Saudi agriculture company with nationwide branch network,Riyadh head office and branch listed on official contact page,"Agriculture Technologies, Crop Farming","Stand 4-349; Products: Hydroponics, Vertical Farming, Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries",,,,,+966 11 477 6700,,https://sa.linkedin.com/company/aljammazag,,,,,,,,,,phone,agriculture exhibition booth/media/activation opportunity,84,high,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://www.aljammazag.com/contact,2026-07-18,2026-07-20,Enrichment batch 1: official contact page captured Riyadh HQ/branch phones; placeholder email on site was intentionally not recorded.
exh-saag-2026-0022,co-saag-2026-al-kayan-fertilizer-modern-co-saudi-arabia,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Kayan Fertilizer Modern Co.,Al Kayan Fertilizer Modern Co.,,,,,Saudi Arabia,Saudi Arabia company per official exhibitor record,current Riyadh exhibition participation only,Crop Farming,Stand 5-330; Products: Fertilizers & Pesticides,,,,,,,,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,35,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-20,"Enrichment batch 1: no stable public website, LinkedIn, or contact source found beyond official exhibitor listing; avoided assigning unrelated Kayan entities by name similarity."
exh-saag-2026-0023,co-saag-2026-alkhorayef-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Khorayef Industries Co.,Al Khorayef Industries Co.,,Alkhorayef Industries Company,alkhorayef.com,http://www.alkhorayef.com,Saudi Arabia,Saudi industrial/agricultural systems company; Riyadh industrial-city activity described by official exhibitor record,Riyadh industrial-city activity described by official exhibitor record,"Agriculture Technologies, Aquaculture","Stand 4-249; Products: Smart Irrigation, Aquaculture Systems & Technologies",,,,,,,,,,,,https://www.alkhorayef.com/companies/,,,,,website,agriculture exhibition booth/media/activation opportunity,62,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-20,"Enrichment batch 1: official Alkhorayef companies page confirms industries/agricultural division, but no AIC-specific sales contact was captured in this pass."
exh-saag-2026-0024,co-saag-2026-khumasia-sa,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Khumasia Company For Feed And Animals Products,Al Khumasia Company For Feed And Animals Products,,,khumasia.sa,http://khumasia.sa/,Saudi Arabia,Saudi feed and animal-products company with Kingdom-wide reach,Al Majmah/Riyadh-region operation signal; current Riyadh exhibition participation confirmed,"Poultry Livestock & Dairy Farming, Aquaculture","Stand 1-230; Products: Animal Health & Technologies, Feeds & Additives, Aquaculture Nutrition",,,,,,,https://www.linkedin.com/company/al-khumasia-for-feed-and-animal-products,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,68,medium,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://www.linkedin.com/company/al-khumasia-for-feed-and-animal-products,2026-07-18,2026-07-20,Enrichment batch 1: public LinkedIn company page captured company profile and scale; no public general email/phone verified in this pass.
exh-saag-2026-0025,co-saag-2026-almahalliah-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,"Al Mahalliah Trading & Agriculture Co., Ltd.","Al Mahalliah Trading & Agriculture Co., Ltd.",AL-Mahalliah Trading & Agricultural Co.L.T.D; ??????? ??????? ???????,AL-Mahalliah Trading & Agricultural Co.L.T.D,almahalliah.com,http://www.almahalliah.com,Saudi Arabia,Saudi organic/traditional agriculture inputs company,Riyadh South Ring Road / Wholesale Market contact address,"Crop Farming, Aquaculture","Stand 1-410; Products: Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries, Aquaculture Materials, Aquaculture Nutrition, Aquaculture Systems & Technologies",mail@almahalliah.com,,,,+966 11 438 0940,,https://www.linkedin.com/company/almahalliah,,,,,,,,,,email,agriculture exhibition booth/media/activation opportunity,80,high,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,https://almahalliah.com/contact/,2026-07-18,2026-07-20,"Enrichment batch 1: official contact page captured Riyadh address, phone, and email; LinkedIn company page captured public company profile."
exh-saag-2026-0026,co-saag-2026-almuneefagri-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,"Al Muneef for Trade, Industry, Agriculture and Contracting","Al Muneef for Trade, Industry, Agriculture and Contracting",,,almuneefagri.com,http://almuneefagri.com,Saudi Arabia,listed_saudi_company_or_presence,pending,Crop Farming,"Stand 1-340; Products: Crop Protection, Farming Technologies, Fertilizers & Pesticides, Landscaping & Nurseries",,,,,,,,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,Official exhibitor details captured in raw snapshot.
exh-saag-2026-0027,co-saag-2026-ousaimi-com-sa,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Ousaimi Group Co. for Trading,Al Ousaimi Group Co. for Trading,,,ousaimi.com.sa,http://www.ousaimi.com.sa/,Saudi Arabia,listed_saudi_company_or_presence,pending,Crop Farming,"Stand 5-151; Products: Fertilizers & Pesticides, Nurseries, Landscaping",,,,,,,,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,
exh-saag-2026-0028,co-saag-2026-al-rafiq-greenhouses-company-jordan,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Rafiq Greenhouses Company,Al Rafiq Greenhouses Company,,,,,Jordan,pending,pending,,Stand 4-487,,,,,,,,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,Website not listed in current exhibitor directory.
exh-saag-2026-0029,co-saag-2026-alrajhiagriculturecompany-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Rajhi and Al-Misfer Agricultural Co.,Al Rajhi and Al-Misfer Agricultural Co.,,,alrajhiagriculturecompany.com,http://www.alrajhiagriculturecompany.com/,Saudi Arabia,listed_saudi_company_or_presence,pending,Crop Farming,"Stand 4-239; Products: Crop Protection, Fertilizers & Pesticides",,,,,,,,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,Official exhibitor details captured in raw snapshot.
exh-saag-2026-0030,co-saag-2026-erp-awqafrajhi-sa,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Rajhia Dates Company for Agricultural Production (RAPCO),Al Rajhia Dates Company for Agricultural Production (RAPCO),,,erp.awqafrajhi.sa,http://erp.awqafrajhi.sa/,Saudi Arabia,listed_saudi_company_or_presence,pending,Organic & Agro-Food,Stand 1-329; Products: Agro-Food Production & Processing,,,,,,,,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,
exh-saag-2026-0031,co-saag-2026-rgh-com-sa,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Rawda Factory,Al Rawda Factory,,,rgh.com.sa,http://www.rgh.com.sa/,Saudi Arabia,listed_saudi_company_or_presence,pending,"Agriculture Technologies, Crop Farming","Stand 4-150; Products: Greenhouses Solutions, Crop Protection, Landscaping & Nurseries",,,,,,,,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,Official exhibitor details captured in raw snapshot.
exh-saag-2026-0032,co-saag-2026-al-raya-specialities-industrial-company-saudi-arabia,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Raya Specialities Industrial Company,Al Raya Specialities Industrial Company,,,,,Saudi Arabia,listed_saudi_company_or_presence,pending,,Stand 5-104,,,,,,,,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,Website not listed in current exhibitor directory.
exh-saag-2026-0033,co-saag-2026-altalebgroup-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Taleb Group,Al Taleb Group,,,altalebgroup.com,http://www.altalebgroup.com,Saudi Arabia,listed_saudi_company_or_presence,pending,Crop Farming,"Stand 1-330; Products: Fertilizers & Pesticides, Landscaping & Nurseries",,,,,,,,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,Official exhibitor details captured in raw snapshot.
exh-saag-2026-0034,co-saag-2026-al-tanseeq-co-saudi-arabia,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Tanseeq Co.,Al Tanseeq Co.,,,,,Saudi Arabia,listed_saudi_company_or_presence,pending,Agriculture Technologies,Stand 5-320; Products: Greenhouses Solutions,,,,,,,,,,,,,,,,,pending,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,Website not listed in current exhibitor directory.
exh-saag-2026-0035,co-saag-2026-alwasail-com,riyadh-2026-saudi-agriculture,2026,confirmed_current,true,,2026,,Al Wasail Industrial Company,Al Wasail Industrial Company,,,alwasail.com,http://alwasail.com,Saudi Arabia,listed_saudi_company_or_presence,pending,Agriculture Technologies,Stand 4-210; Products: AI & Smart Applications,,,,,,,,,,,,,,,,,website,agriculture exhibition booth/media/activation opportunity,,pending,official,verified_primary,high,https://saudi-agriculture.com/exhibitors-list/,,2026-07-18,2026-07-18,Official exhibitor details captured in raw snapshot.
